Name,Type,Active,Agility,Arctic,Bipedal,Bulbous,Coastal,Domestic,Fierce,Forager,Forest,Furry,Grazer,Hairless,Hibernate,Hunter,Inactive,Jungle,Lean,Mountains,Muscle,Newworld,Nocturnal,Oldworld,Pads,Paws,Quadrupedal,Size,Smart,Speed,Spots,Stalker,Strength,Tail,Timid,Toughskin,Water
Bat,Air,36.24,42.11,0,23.75,15.28,9.38,5.56,32.57,24.38,58.01,38.75,10.62,40.61,45.3,43.28,36.81,37.52,45.69,31.25,35.73,65.69,98.86,65.69,0,7.5,6.48,1.25,32.3,80.96,1.25,8.12,7.5,15.11,8.98,30,1.39
Beaver,Water,67.81,36.25,11.25,12.5,37.5,33.75,13.12,3.75,10.62,19.06,46.25,4.69,1.25,36.88,3.75,2.5,0,8.75,0,24.38,63.44,21.88,19.06,24.38,39.38,24.38,6.88,41.88,25,7.5,1.25,32.81,86.56,31.88,25,65.62
Blue Whale,Water,7.88,7.06,32.75,0,65.15,5.31,5,7.5,0,0,0,0,64.47,0,5.94,35.48,0,11.88,0,25.37,33.96,6.25,30.21,0,0,0,86.46,39.06,21.42,23.75,0,55.26,26.42,44.58,45.17,76.61
Bobcat,Land,61.13,71.74,6.67,0,0,1.39,3.75,71.95,36.97,30.95,64.71,0,0,28.02,81.44,6.38,17.08,42.51,50.56,47.3,51.79,20.73,42.75,22.81,62.75,74.25,19.93,42.89,73.97,33.55,66.98,32.99,64.5,0,2.5,0
Buffalo,Land,18.94,4.38,0,0,50.83,0,2.31,26.99,23.67,0,39.24,54.04,6.46,0,6.67,29,0,0,4.63,21.13,55.83,0,18.33,0,0,61.82,84.91,10,24.79,0,0,50.81,5.39,19.88,42.36,9.38
Chihuahua,Land,56.13,20.24,0,3.12,0.62,1.51,73.55,33.03,3.2,5.08,51.16,3.75,16.46,0,6.58,13.06,0,34.3,1.88,6.88,63.86,0,37.23,22.1,73.54,81.01,0,29.84,27.87,11.79,1.38,4.3,48.8,36.73,0.62,1.25
Chimpanzee,Land,77.8,75.86,1.25,66.82,6.56,8.75,36.62,23.1,33.53,63.58,81.98,11.94,0.46,0,7.5,7.5,91.98,45.75,27.35,41.83,52.98,9.81,74.34,9.69,9.31,44.53,28.29,84.36,56.94,0,8.75,41.19,54.26,29.64,20.96,1.25
Collie,Land,54.26,32.05,0,0.62,8.07,6.25,79.11,5.25,6.16,0,78.21,0,0,0,22.27,1.88,0,21.02,12.5,15.34,55.39,0,40.72,12.95,76.17,70.14,26.31,42.17,49.05,9.09,3.75,19.55,67.09,43.09,1.25,0
Cow,Land,20.93,16.06,0,0,35.81,8.76,72.99,3.34,5.24,10.21,32.05,60.89,19.46,0,0,44.12,0.59,5.13,9.17,18.63,61.94,7.14,61.57,7.61,3.8,62.42,68.31,13.97,10.89,31.35,0,47.02,62.77,47.87,42.45,0.55
Dalmatian,Land,37.5,38.68,0,10.14,0,1.25,72.71,9.38,0,0,27.15,0,25.9,0,7.5,3.75,0,63.68,0,23.75,63.47,2.5,29.86,7.5,69.03,77.92,39.31,53.26,61.74,100,8.75,34.93,53.75,31.67,7.5,1.25
Deer,Land,50,62,1.39,0,0,4.85,10.27,0,23.91,69.22,52.33,69.35,0,0,5.26,1.25,0,42.52,25.16,32.58,62.18,2.63,45.19,0,0,68.71,39.88,40.05,73.73,48.08,0,23.88,43.85,67.49,18.22,0
Dolphin,Water,53.15,50.56,20.34,7.69,14.81,24.07,37.98,10.73,8.86,0,0.62,0.75,73.27,0,20.01,1.72,0,28.2,0,26.29,57.1,0.62,56.41,0,0,4.8,47.82,60.38,59.09,0.8,6.24,41.88,41.85,21.06,39.21,71.4
Elephant,Land,6.48,5.78,0,0,48.52,0,6.88,20.63,8.06,7.58,1.14,43.83,68.27,0,3.75,53.62,36.33,1.25,0,25.56,4.53,7.5,84.56,17.1,5.08,70.61,85.48,22.81,3.75,1.25,0,67.45,51.97,39.36,77.62,1.25
Fox,Land,54,49.56,19.28,0,0,7.5,4.38,44.9,32.03,61.82,66.35,0,0,21.91,61.52,5.7,5,50.61,13.12,21.6,61.81,43.24,43.33,20.98,42.58,66.89,5.23,79.26,67.51,0,61.2,26.72,66.65,5,5.7,0
German Shepherd,Land,58.15,60.14,6.25,5,15.85,2.5,68.55,57.44,5.62,17.89,66.05,0.62,3.75,0,43.77,1.88,0,38.05,11.25,50.69,64.49,7.5,48.92,41.94,59.8,82.93,54.88,57.53,57.02,11.59,21.02,62.33,72.3,10,18.46,3.75
Giant Panda,Land,5.5,10,5,48.68,70.22,5.14,29.58,6.25,40.63,48.03,84.15,41.84,0,18.66,3.75,53.51,45.65,1.25,18.12,17.69,29.17,9.63,84.4,41.61,70.55,55.2,75.01,37.3,5,24.17,6.25,46.11,9.03,65.84,10,1.25
Giraffe,Land,24.22,18.38,0,0,1.11,0,3.33,1.11,12.78,11.11,17.17,55.84,14.05,0,0,35.89,16.92,68.82,0,21.52,11.11,0,66.16,0.56,6.65,77.12,78.23,16.95,31.86,77.08,0,31.43,44.8,45.36,13.57,0
Gorilla,Land,49.22,59.73,1.25,68.8,31.77,8.75,18.93,46.23,34.71,33.19,79.21,7.5,0,0,19.11,6.56,77.01,12.68,17.14,65.79,12.5,8.75,73.83,8.12,1.25,37.17,70.48,56.19,37.06,0,11.25,73.42,10,12.13,28.08,1.25
Grizzly Bear,Land,29.95,15.92,6.65,51.21,45.13,2.78,11.39,61.8,25.74,77.4,82.37,0,0,86.14,60.83,32.57,2.5,0,43.85,48.89,61.54,24.32,3.95,3.75,69.6,36.77,86.69,24,46.97,0,26.05,78.48,9.38,12.5,21.82,7.64
Hamster,Land,47.28,32.57,0,2.64,39.03,3.75,71.44,8.75,27.26,2.5,86.82,22.71,0,26.88,0,29.95,0,5.56,0,0,53.14,34.58,20.56,7.5,44.47,72.49,0,18.37,39.33,8.5,0,3.89,26.34,40.69,5.56,0
Hippopotamus,Water,6.25,8.52,0,0,59.45,3.75,0,19.17,6.02,8.75,0,18.52,63.91,0,3.75,50.23,28.47,0,0,32.09,5,0,68.55,8.33,0,60.22,79.48,8.75,2.5,0,0,49.76,7.27,29.58,66.12,46.78
Horse,Land,55.95,49,0,0,15.72,2.92,59.33,15.51,2.34,10.76,40.58,72.19,12.59,1.11,4.09,1.11,3.33,47.96,16.22,51.14,62.29,1.11,50.07,3.7,0,70.35,71.5,37.28,81.68,15.8,0,69.13,70.42,35.39,42.45,2.22
Humpback Whale,Water,12.5,10.34,48.7,0,64.92,27.61,0,3.75,11.25,0,0,0,65.21,0,15.65,29.86,0,13.75,0,28.98,35.34,3.75,27.84,0,0,0,94.6,60.31,26.7,6.88,0,63.27,44.8,60.72,68.52,89.95
Killer Whale,Water,27.29,27.8,24.51,0,61.87,30.11,15.42,38.27,10.89,0,1.25,0,70.62,0,57.87,13.23,0,22.68,0,10.45,16.25,8.75,12.5,0,0,0,90.85,52.03,57.37,32.69,15,63.35,41.67,9.77,57.04,79.49
Leopard,Land,71.82,75.1,2.5,0,0,0,6.25,70.3,30.33,18.05,43.27,9.87,10.97,14.76,69.02,7.5,68.99,73.48,26.03,62.22,24.24,25.81,62.61,19.45,69.9,78,54.64,37.16,85.26,74.97,79.76,55.18,48.22,0,12.18,2.5
Lion,Land,33.44,43.52,0,2.5,23.12,3.75,3.75,70.47,30.94,22.5,67.03,7.5,5,0,76.56,36.88,63.05,22.81,21.25,50.94,10.94,9.77,66.02,27.81,67.66,65.55,71.88,25.7,65.47,0,77.34,77.19,62.22,4.38,16.25,0
Mole,Land,48.83,26.7,0,1.39,42.27,1.39,13.75,16.88,39.28,43.67,45.81,5.62,14.88,31.69,0.62,20.67,0,20.91,0.62,16.41,44.68,25.14,24.72,19.36,43.17,51.05,1.25,16.67,20.9,0,0,1.25,20,29.47,8.96,0
Moose,Land,18.06,6.25,26.58,0,36.63,3.75,5.14,8.75,46.46,58.47,36.85,77.33,10,0,18.06,37.86,3.75,11.25,67.19,35.5,82.33,3.75,34.31,2.5,0,82.61,87.73,19.11,22.74,12.5,11.25,68.53,29.59,40.42,28.57,1.25
Mouse,Land,44.45,30.66,0,2.5,10,0,27.64,1.25,15.38,32.09,51.94,21.25,11.56,26.07,2.5,3.12,0,7.5,4.06,0.62,58.23,29.31,53.33,0,35.15,45.35,0,12.42,55.15,6.25,0.62,0,70.04,50,1.25,0
Otter,Water,41.11,32.92,35.56,1.25,23.06,35.97,7.78,6.25,1.25,25.83,46.94,0,7.5,10.14,32.92,2.5,0,30.14,0,11.39,54.72,12.5,30.83,10.42,24.17,35.56,11.25,27.22,40.97,0,3.75,11.39,43.61,33.47,20,78.75
Ox,Land,17.61,3.75,0,0,52.36,18,53.33,20.16,10.36,6.25,30.02,66.23,33.3,0,0,51.44,5,3.75,10,30.51,50.38,2.5,54.7,3.75,5,77.18,73.47,14.68,5.28,15.62,0,88.78,58.05,33.65,52.54,2.5
Persian Cat,Land,13.89,44.5,0,7.5,32.92,1.39,72.88,13.98,6.25,8.98,90.19,6.25,0,1.56,10.98,49.04,6.25,14.54,6.25,12.5,50.66,10.55,54.31,42.44,68.81,66.15,6.25,38.62,26.98,6.25,9.03,12.58,66.8,43.69,6.25,1.25
Pig,Land,15.53,3.52,3.75,1.25,54.21,10,48.95,25.48,31.63,2.5,17.05,9.42,43.7,0,1.79,38.78,2.5,0,6.25,14.4,53.27,2.5,41.02,7.5,7.5,68,48.17,23.04,16.24,21.23,0,27.44,40.56,27.85,51.37,3.87
Polar Bear,Land,36.25,24.38,96.88,25,53.75,48.96,5,70.35,34.38,0,81.94,0,0,58.12,56.32,29.38,0,0,1.25,16.25,44.38,10,31.25,26.25,66.04,66.04,85.49,16.25,38.68,0,30.38,77.08,10,3.75,22.29,45.9
Rabbit,Land,47.86,24.56,12.38,3.12,47.73,11.46,60.52,4.17,34.33,28.32,80.89,48.98,0,19.68,0,22.73,0.25,5.05,4,13.96,62.1,18.61,45.71,15.21,56.45,49.13,2.27,11.47,63.26,9.26,0,4.79,61.1,61.21,7.95,0
Raccoon,Land,70.54,36.09,0,3.41,16.46,13.12,5,34.46,53.74,63.95,67.37,3.41,0,29.83,10.89,4.17,0,0,25.86,13.11,60.2,70.56,24.7,22.08,61.36,66.87,7.5,48.68,38.21,22.87,8.98,10.62,69.78,2.27,3.41,2.08
Rat,Land,56.88,28.54,0,2.27,21.3,11.67,16.69,59.44,52.36,36.71,48.79,0,15.39,31.16,24,11.95,1.39,28.76,7.5,20.24,72.65,67.81,70.36,10.78,49.02,73.62,1.88,24.99,57.14,1.25,3.4,18.19,73.69,11.81,7.36,0
Rhinoceros,Land,2.64,4.91,0,1.39,48.9,0,2.5,42.5,9.66,0,1.14,23.06,54.46,0,0,32.6,27.78,0,0,12.04,2.64,0,72.1,17.99,0,58.54,82,10.59,10.21,1.39,0,55.38,17.05,13.33,76.17,13.54
Seal,Water,28.98,49.81,74.38,1.56,20.23,59.15,47.03,13.75,7.81,0,20.45,0,44.75,0,27.88,20.8,0,10.94,0,10.45,32.24,2.5,30.31,2.5,5,11.25,30.91,44.49,29.32,23.12,6.25,23.18,41.14,35.31,49.97,78.92
Sheep,Land,3.75,7.05,0,0,35.62,5,30.68,0,2.5,1.25,61.16,68.35,3.12,0,0,36.22,2.5,2.5,49.8,8.41,57.78,0,57.33,3.75,0,80.14,16.53,10.62,4.66,0,0,10,11.65,54.38,9.55,0
Siamese Cat,Land,37.63,64.05,1.11,10,4.44,7.78,83.55,35.98,19.05,4.44,72.76,0,10,5.62,34.6,32.01,2.22,61.86,5.56,35.03,64.25,29.16,58.2,31.44,64.22,80.44,2.22,52.9,43.24,6.94,51.61,8.96,59.15,28.82,5,2.22
Skunk,Land,22.5,15.42,0,5,28.06,0,8.89,17.29,33.75,47.85,80,0,0.62,33.68,4.17,19.93,0,16.88,5.62,3.75,67.85,35.62,21.88,27.71,59.79,70.83,0,12.5,30.21,1.25,0,3.12,83.33,46.11,8.12,4.03
Spider Monkey,Land,74.9,88.33,0,32.81,0,0,12.78,17.71,35.38,33.26,64.93,21.15,5,0,5,7.5,61.88,44.93,3.75,24.06,21.01,5,45.83,18.75,27.5,32.4,20,55,58.12,0,2.08,24.17,72.26,23.68,7.81,0
Squirrel,Land,62.01,60.26,3.75,36.04,0,7.5,14.76,7.92,77.01,66.53,78.78,2.5,0,51.26,0,2.5,6.25,19.58,10,15,67.85,10,38.65,23.12,43.19,42.67,2.64,18.48,54.93,2.5,0,14.17,84.69,38.16,14.62,1.25
Tiger,Land,59.45,68.97,1.25,0,14.09,0,5.64,83.81,4.38,21.32,66.23,0,2.64,14.24,84.93,10.62,75.79,48.87,14.88,82.34,13.12,38.24,83.28,33.28,60.83,77.12,78.36,36.59,76.21,6.08,87.22,84.04,66.65,3.75,16.01,4.06
Walrus,Water,8.78,14.68,81.45,7.19,82.08,38.78,18.75,20,8.12,0,18.99,0.25,45.94,6.88,20.36,52.14,0,9.11,0,16.55,38.06,2.5,16.88,2.5,6.88,11.88,76.46,23.96,24.76,13.12,10,49.94,20.76,29.43,62.06,62.3
Weasel,Land,52.09,47.2,0,3.75,0,6.39,3.75,59.37,28.79,31.66,45.41,7.5,1.25,3.57,41.69,1.25,1.25,54.05,9.82,22.11,36.01,28.32,23.61,10.42,44.21,57.65,1.25,36.56,61.5,8.75,19.84,8.89,30.55,3.75,5,5.42
Wolf,Land,77.68,64.18,36.11,0,5.21,11.67,5,75.75,22.97,34.25,67.2,0,0,4.17,71.47,0,10.76,41.55,23.47,63.39,59.47,38.82,52.78,23.96,59.95,80.84,40.21,61.48,63.13,0,73.45,61.63,62.59,0,5.83,0
Zebra,Land,42.51,29.52,0,0,11.88,0,9.94,0,32.08,8.75,36.4,78.67,7.69,0,4.17,20,10,38.74,10,38.76,5.42,0,90.92,0,0,89,48.82,22.63,70.85,0,0,29.85,61.43,53.25,20.8,0